mapped,user_id,hinting,"Q1pre","Q2pre","Q4pre","Q5pre","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8",Please list some of your biggest questions or points of curiosity about AI and robotics -
True,817,False,"Slightly well","Daily","4-6 times a week","Extremely curious","Very inclined","Very helpful","Not challenging at all","Moderately Intuitive","Very curious","Moderately well","N/A","N/A",I'm just curious about the coding part of this project and how we analyze the data including the given inputs and outputs from and to the JEDAI robot. I would like to learn more about this project. It seems really intriguing.
True,1024,True,"Not at all","Once a week","2-3 times a week","Very curious","Moderately inclined","Slightly helpful","Moderately challenging","Slightly intuitive","Moderately curious","Moderately well","Never","I did not receive any ""Hints""",
True,2004,False,"Slightly well","Daily","Daily","Extremely curious","Very inclined","Moderately helpful","Moderately challenging","Slightly intuitive","Very curious","Very well","N/A","N/A",
True,3460,False,"Slightly well","Once a week","2-3 times a week","Slightly curious","Slightly inclined","Slightly helpful","Not challenging at all","Slightly intuitive","Slightly curious","Moderately well","N/A","N/A",N/A
True,3539,True,"Not at all","4-6 times a week","Daily","Extremely curious","Very inclined","Moderately helpful","Moderately challenging","Moderately Intuitive","Extremely curious","Very well","Never","I did not receive any ""Hints""","Just the use cases of AI. Will be interesting to notice how AI is used in academia. "
True,841,True,"Slightly well","2-3 times a week","Once a week","Slightly curious","Slightly inclined","Slightly helpful","Moderately challenging","Not intuitive at all","Slightly curious","Slightly well","2-4 times per problem.","Slightly well",841
True,4416,False,"Very well","Daily","4-6 times a week","Very curious","Very inclined","Moderately helpful","Moderately challenging","Moderately Intuitive","Very curious","Very well","N/A","N/A","I really appreciate the hard work that has been putforth in bringing this simulation up. 
* One of the major conerns or a user-frustration I faced was probably hovering the simulator. The controls were kinda off while trying to control and watch how the simulation works.
* I loved how simple the sections were provided with multiple drop-boxes to choose from while providing the rules.
* However, it is not practically possible to make the simulation run half-way, where the user tests whether the instructions given is right or wrong, but maybe I would give this a feedback in case if you are able to provide it. 
* I would appreciate if you could enhance the error texts being more easy to understand, it was pretty neat to understand, but takes a bit more cognitive load to completely understand what the error actually is. I liked the error detection of highlighting the red color wherever necessary.
* The simulation UI page could be still monitored into a dark theme, as I have observed a lot of simulation software working upon dark themes, this will help the user focus upon the simulation by reducing lot of light entering into their eyes, as it takes lot of time to train the model.
* One of the points of curiosity was to know how the robot actually works in the end, that drives me to finish the task, even if it was bit challenging.

- Current enrolment: MS in User Experience"
True,4188,True,"Moderately well","2-3 times a week","2-3 times a week","Very curious","Very inclined","Slightly helpful","Slightly challenging","Moderately Intuitive","Very curious","Moderately well","2-4 times per problem.","Very well","What if there are some more complicated tasks to perform? Are all actions need to be program separately? "
True,4757,True,"Slightly well","2-3 times a week","2-3 times a week","Extremely curious","Extremely inclined","Very helpful","Not challenging at all","Moderately Intuitive","Extremely curious","Not well at all","Never","I did not receive any ""Hints""","I am very interested as to how the AI interprets each of the inputs. For instance, I saw two different executions of the same inputs, and the AI followed each step with some variance between the two executions (the way in which it moved it's joints, more specifically)."
True,1304,False,"Moderately well","2-3 times a week","Daily","Very curious","Very inclined","Very helpful","Slightly challenging","Very Intuitive","Very curious","Very well","N/A","N/A","Major 1: Neuroscience; Major 2: Earth and Space Exploration (Astrobiology and Biogeosciences); I am curious to see how AI and robotics will start to replace human tasks in the coming years (if Waymo will replace Uber, and if cooking robots will replace chefs). I wonder if robots will ever truly be as capable at problem-solving as humans and if they will be able to understand ethical implications of their decisions."
True,4039,True,"Slightly well","2-3 times a week","4-6 times a week","Extremely curious","Very inclined","Extremely helpful","Moderately challenging","Moderately Intuitive","Moderately curious","Moderately well","Once during the session","Not well at all","I want to know more about how AI can be used with real world applications of robotics, and how it can be used for saving lives in dangerous situations. "
True,1167,False,"Slightly well","Once a week","Once a week","Moderately curious","Moderately inclined","Very helpful","Moderately challenging","Slightly intuitive","Moderately curious","Moderately well","N/A","N/A",Why can't yumi's arm on the 2nd task be programmed separately so it can stack multiple blocks at a time?
True,2714,False,"Very well","4-6 times a week","2-3 times a week","Extremely curious","Extremely inclined","Very helpful","Moderately challenging","Moderately Intuitive","Very curious","Extremely well","N/A","N/A",
